Age,Gender,StudyHours,Attendance,Performance
18,Male,2.5,60,Fail
19,Female,5,85,Pass
17,Female,1.5,55,Fail
20,Male,6,90,Pass
18,Female,3,70,Fail
21,Male,7,92,Pass
19,Female,4,75,Pass
20,Male,2,50,Fail
18,Female,6.5,88,Pass
17,Male,1,40,Fail
19,Female,5.5,86,Pass
21,Female,3.5,72,Pass
20,Male,2.8,65,Fail
18,Male,6,95,Pass
19,Female,4.2,78,Pass
17,Female,1.2,48,Fail
20,Male,5.9,89,Pass
18,Female,2.7,68,Fail
19,Male,3.9,74,Pass
21,Female,4.8,80,Pass
17,Male,1.4,52,Fail
20,Female,6.2,90,Pass
18,Male,2.6,64,Fail
19,Female,4.5,79,Pass
21,Male,5.8,85,Pass
18,Female,1.9,58,Fail
20,Male,6.1,93,Pass
17,Female,3.2,67,Fail
19,Male,5,84,Pass
21,Female,4.3,77,Pass
